,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,"Data Scientist - Statistics, Early Career","$56K-$97K
(Glassdoor Est.)","*Organization and Job ID**
Job ID: 310918

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Applied Statistics & Computational Modeling
*Job Description**
This position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will develop and apply fundamental mathematical or statistical theory to advance analytic solutions in various scientific domains. The Scientist must be able to draw from a strong statistical background, in areas including experimental design, advanced statistical modeling (e.g. mixed linear models, nonparametric models, etc.), machine learning, and computer simulations, to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.

Operating on the data-information-knowledge continuum, staff at PNNL employ diverse methods to confront significant problems of national interest from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio spanning from basic to applied includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.

Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces.
*The hiring level will be determined based on the education, experience, and skill set of the successful candidate based on the following:**
*Level II** : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance.
*Level III:** Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities
*Minimum Qualifications**
+ BS/BA with 2 years of experience, MS/MA with 0 years of experience, or PhD with 0 years of experience
*Preferred Qualifications**
+ BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 year of experience, focused in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility

+ Position requires ability to apply theories and develop technical approaches with minimal oversight

+ Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
Due to business needs and client space, US Citizenship is required:

The Pacific Northwest National Laboratory is subject to the Department of Energy Unclassified Foreign Visits & Assignment Program site, information, technologies, and equipment access requirements.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Appld Stats & Comp Modeling_

_Opening Date:_ _2020-06-03_

_Closing Date:_ _2020-09-01_",3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$1 to $2 billion (CAD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
1,Data Scientist,-1,"Goodway Group is a fully-remote, digital marketing, and advertising firm. We sit at the intersection of top talent, amazing technical partnerships, and game-changing analytics within the ad technology and marketing technology space. We're well-established with the pace of a start-up. This position is work from home (or anywhere else you have reliable internet) and can be located anywhere within the United States.

Who We Are

Goodway Group aims to be the beacon of honesty and intelligence in the programmatic marketplace. We deliver authentic results for our clients by running smart advertising campaigns. Data Science & & Analytics at Goodway Group develops data products that ensure the company's media campaigns are running efficiently. Doing this involves:
showing feasibility through data analysis,
designing and producing prototypes
deploying models to production.
Who You Are

A Data Scientist is a key member of the Data Science and Analytics team at Goodway. This team utilizes advanced tools and innovative techniques to maximize advertising results for our clients, as well as demonstrates thought leadership within the digital advertising industry.

You will be at the center of data analysis, modeling, machine learning, and data engineering and on the bleeding-edge in the ad-tech space.

The ideal candidate will have hands-on experience working on a wide range of optimization and analytics problems in ad-tech including fraud detection/mitigation, price prediction, conversion attribution, and modeling, as well as experience with the tools of the trade including SQL, Python, Hive, R, Athena, and others.

What You Will Do
Design, build and deploy algorithms to optimize the performance of advertising campaigns.
Define data requirements and gather/validate information, applying judgment and statistical tests.
Apply various models and methods to test, learn, and improve the manner in which data is being evaluated and algorithms are being built.
Construct data narratives to convey complex ideas to non-technical stakeholders.
Be constantly learning the latest technologies and trends.
Work with analysts and stakeholders to gather, understand, and develop business initiatives and specifications.
Provide expertise and leadership on making technical decisions, thus delivering a platform that provides business value and meets end-user goals.
What We Offer

Goodway Group is a wholly remote organization, so no commute to consider! We offer unlimited PTO (MyTime) because we know you're at your best when your life has balance. We have the usual steak and potatoes array of benefits, as well as some great wellness programs that are available to both you and your family. While we work remotely, we foster an environment that promotes connectedness and community.

For a lot more detail, make sure to check us out on Glassdoor!

You’ll Be Successful Because You Are
Knowledgeable: B.S., M.S. or Ph.D. in computer science, math, statistics or a strong quantitative educational background
Experienced: Minimum of 2 years’ experience in applied data science, machine learning or modeling
Adept with Python/Bash and some exposure to modern software development practices including GitHub/git-flow and automated testing
Experience working with big data tools such as Hadoop, Hive, Spark, Pig, Presto, Athena or Qubole
Excellent communication skills and ability to convey ideas accurately and concisely to both technical and non-technical employees
Adaptable to any and every situation: You have a knack for being fluid and embracing change.
A quick study: swiftly demonstrate an understanding of the business, organizational structure, culture, client base, and industry.
Masterful ability to evangelize Goodway’s values and culture to both prospects and employees.
Results-Oriented: we call this grit. You can be counted on to exceed goals, and you’re known to push yourself and others across the finish line
Ability to learn new paradigms, tools, and processes quickly and thrive in a fast-paced, rapidly changing, exciting work environment
Excellent communication skills and ability to convey ideas accurately and concisely to both technical and non-technical employees
Work From Home: we all work from our home offices throughout the United States
Things You Should Know
Our workdays can sometimes be long and unpredictable. You should be comfortable and capable of sitting and/or standing at a desk for at least 8 hours.
Twice per year, we gather together to work and play for a week. Both retreats are “can’t miss” events (like seriously…they are mandatory). There may also be other opportunities to travel depending on your specific role and business needs.
Goodway embraces a culture of equality and wants applications from everyone, regardless of race, creed, color, religion, sex, sexual orientation, gender identity, national origin, marital status, citizen status, age, disability, military or protected veteran status, genetic predisposition or carrier status or any other legally protected status.",4.2,"Goodway Group
4.2",United States,"Jenkintown, PA",201 to 500 employees,1929,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
2,Data Scientist,"$117K-$140K
(Glassdoor Est.)","Why We Work at Dun & Bradstreet


We are at a transformational moment in our company journey - and we’re so excited about it. Each day, we are finding new ways to strengthen our award-winning culture, and to accelerate creativity, innovation and growth. Our purpose is to help customers improve business performance with Dun & Bradstreet’s Data Cloud and Live Business Identity, and we’re wildly passionate and committed to this purpose. So, if you’re looking to make an immediate impact at a company that welcomes bold and diverse thinking, come join us!



As a Data Scientist, you will develop novel solutions to market-driven problems using knowledge of the latest ML techniques, rigorous statistical analysis, and practical experience on previous data science projects. You will collaborate with internal and external stakeholders (external customers, other D&B data scientists, sales team members, business unit product leaders, development teams, and global partners) to understand business needs and technical requirements.

You will also:
Serve as a Subject Matter Expert on internal D&B data, and estimation of business size.
Participate and support other teams as needed for all aspects of model development, including design, model implementation, validation, calibration, documentation, product implementation, monitoring, and reporting
Research complex business issues and recommend solutions, including customer data input requirements, other required data sets, modeling approaches, and end products
Basic Qualifications:
Masters in a quantitative / applied field (Engineering, Computer Science, Operations Research, Mathematics, Data Science, Economics, Statistics).
2+ years of experience in data science roles.
Strong knowledge of programming and modeling using Python, R, or SAS.
Strong SQL skills and experience working with large data sets.
Experience working collaboratively, including building and maintaining relationships with internal and external stakeholders/clients.
Experience advising a team on innovative methodologies, data science tools, and environments.
Experience communicating complex ideas to both a technical and non-technical audience.
Experience applying modern machine learning techniques.
Preferred Qualities
Creative and inquisitive in nature, flexibility to learn and apply new methodologies.
Strong writing skills.
Dun & Bradstreet is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, age, national origin, citizenship status, disability status, sexual orientation, gender identity or expression, pregnancy, genetic information, protected military and veteran status, ancestry, marital status, medical condition (cancer and genetic characteristics) or any other characteristic protected by law.

We are committed to Equal Employment Opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with Dun & Bradstreet and need special assistance or an accommodation to use our website or to apply for a position, please send an e-mail with your request to TalentAcquisitionTeam@dnb.com. Determination on requests for reasonable accommodation are made on a case-by-case basis.

Please note that all Dun & Bradstreet job postings can be found at https://dnb.wd1.myworkdayjobs.com/Careers and all communication from Dun & Bradstreet will come from an email address ending in @dnb.com.",3.1,"Dun & Bradstreet
3.1","Austin, TX","Short Hills, NJ",1001 to 5000 employees,1841,Company - Private,IT Services,Information Technology,$2 to $5 billion (CAD),"Experian, Equifax"
3,Data Scientist (Analytics),"$100K-$163K
(Glassdoor Est.)","Upstart is a leading AI lending platform partnering with banks to expand access to affordable credit. Forbes recently ranked Upstart #12 on its list of ""most promising AI companies in America."" Inc. Magazine also recognized Upstart as one of the Best Workplaces for 2020.

By leveraging Upstart's AI platform, Upstart-powered banks can have higher approval rates and lower loss rates, while simultaneously delivering the exceptional digital-first lending experience their customers demand. Upstart's patent-pending platform is the first to receive a no-action letter from the Consumer Financial Protection Bureau related to fair lending. Upstart is based in San Mateo, California and Columbus, Ohio.

Most Upstarters join us because they connect with our mission of enabling access to effortless credit based on true risk. If you are energized by the impact you can make at Upstart, we'd love to hear from you!

The Team

Upstart's data science team has a direct impact on our company's success. The team consists of full-stack generalists as well as specialists in statistical modeling, analytics or machine learning in each of our office locations.

The fundamental goal of the data science team is to explore new models and new data sets that can improve the accuracy of our models. With this goal comes near-limitless challenges to tackle, and that is one of the reasons why Upstart is such a unique opportunity. Whether developing new products or identifying novel approaches to core models, we are continuously seeking the next big ideas to move our business forward.

The Role

As a Data Scientist, you'll focus on analytics by monitoring our models, their performance, and their effects on our customers, identify potential problems or opportunities for improvement, communicate these issues to the rest of the team, and suggest solutions. This involves self-directed investigation into our business and its data, designing and preparing regular reports, as well as conducting ad hoc analyses for the data science team, company leadership, and external parties such as partner banks.

Our data science team researches and productionizes all of Upstart's core predictive models. If data is the new oil, then you'll be responsible for the refining process that creates the most premium fuel possible. You'll work in an environment where actionable insights from data are valued and needed, so you'll be able to see your analysis turn into measurable results for our company and our borrowers.

What we're looking for:
Knowledgeable in applied stats (e.g., hypothesis testing, linear and logistic regression)
Experience with SQL and R/Python
Enthusiasm for and alignment with Upstart's mission and values
Strong sense of intellectual curiosity balanced with humility, drive and teamwork
Numerically-savvy and smart with ability to operate at a speedy pace
Ability to quickly piece together disparate pieces of information to form a broader picture
Ability to use data to detect bugs, surprises, and other important business issues
Determination to pursue a question until reaching a satisfactory conclusion
Experience with consumer (especially consumer finance) data a plus
Data visualization skills preferred
MS or PhD preferred
What you'll love:
Competitive compensation (base + bonus & equity)
Comprehensive medical, dental, and vision coverage
Personal development and technology & ergonomic budgets
Life insurance and disability benefits
Clubs and Activities (game nights, Fitstarters, Superwomen, book club, investing club, money discussions, photography club and basketball teams)
Generous vacation policy
401(k) retirement plan
Catered lunches + snacks & drinks
Upstart is a proud Equal Opportunity Employer. We are dedicated to ensuring that underrepresented classes receive better access to affordable credit, and are just as committed to embracing diversity and inclusion in our hiring practices. We celebrate all cultures, backgrounds, perspectives, and experiences, and know that we can only become better together.",4.2,"Upstart
4.2","Columbus, OH","San Mateo, CA",201 to 500 employees,2012,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
4,Data Scientist (Polygraph Clearance),"$70K-$116K
(Glassdoor Est.)","Secure our Nation, Ignite your Future

Join the top Information Technology and Analytic professionals in the industry to make invaluable contributions to our national security on a daily basis. In this innovative, self-contained, Big Data environment, the ManTech team is responsible for everything from infrastructure, to application development, to data science, to advanced analytics and beyond. The team is diverse, the questions are thought-provoking, and the opportunities for growth and advancement are numerous

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies

Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Bachelor of Science or equivalent and 12-15 years related experience, but will consider all levels of experience.
Desired Experience, Skills & Technologies
Previous investigative experience using a combination of technical and analytic skills
#LI-DU1

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech
4.2","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$2 to $5 billion (CAD),-1
5,Data Scientist,"$145K-$225K
(Employer Est.)","Role Description
As a data scientist at Triplebyte, you’ll have the opportunity to work on a variety of challenges to help us scale. You'll be part of a small team, who are leveraging data to fix technical hiring. Your day to day, will include a mix of dataset acquisition, statistical modeling, exploratory data analysis, and software engineering. You’ll report directly to Triplebytes' Head of Machine Learning and will work alongside a team of 6-8 machine learning engineers and data scientists.
Fields your work will touch on
Psychometrics
Recommender systems
Time series analysis
Survival analysis
Bayesian inference
Probabilistic programming
This is an ideal role for a data scientist who wants the scope and responsibility to own features/products from the inception and research phase through to measuring real-world results.

About Triplebyte
Triplebyte is a hiring marketplace used by companies like Apple, Dropbox, Stripe, and Instacart to hire the best technical talent. We are on a mission to build a meritocratic hiring process, and we do all our evaluation background blind. Our ultimate goal is to collect the largest dataset and use this to build the world's best technical hiring process. No other company has successfully done what we're doing in this field.
We are growing extremely quickly, working on a problem that is fundamental, sitting at the crossroads between the workforce and employers. Ten years from now, it'll look silly to use anything other than Triplebyte for technical hiring.
Company Culture
We have a laid-back, friendly office culture. Over lunch you'll often find us discussing the latest in technology, books, and pop culture, and then maybe getting in a quick game of chess or babyfoot (foosball).
Since we're an early-stage company, we move fast, and it's important that each member of our team is able to take ownership of projects by defining problems, brainstorming solutions, and running experiments.",3.2,"Triplebyte
3.2","New York, NY","San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
6,Data Scientist,"$83K-$144K
(Glassdoor Est.)","By clicking the Apply button, I understand that my employment application process with Takeda will commence and that I agree with Takedas Privacy Notice, Privacy Policy and Terms of Use.

Job Description


Takeda is looking for a Data Scientist to join our Data Engineering and Artificial Intelligence team. We are looking for a Data Scientist who can use their Machine Learning, Deep Learning, Data Wrangling and Presentation skills to help deliver insights for our most difficult questions. You will work with the rest of the team to enable Takeda to continue its journey of data maturity, delivering outputs while educating others. You will be helping to solve some of the biggest question at Takeda and for healthcare in general.

Are you looking for a patient-focused, innovation-driven company that will inspire you and empower you to shine? Join us as a Data Scientist in our Cambridge, MA location.

POSITION OBJECTIVES:
Apply machine learning, deep learning and other advanced techniques while performing Data Analysis engagements. This is against structured and un-structured data sets, at small and large scale.
Independently perform complex analysis using modern Data Science techniques against structured or unstructured data to generate insights.
Provide mentorship to other Data Engineers, Data Scientists and Data Specialists across R&D and Vaccines at Takeda as we elevate our data IQ across the organization.
Deliver critical analysis against Takedas toughest data problems to give us critical insight to the organizations largest questions.
POSITION ACCOUNTABILITIES:
Perform machine learning, deep learning and other advanced data techniques at a level of quality that can be defended to peers across organizations.
Introduce novel and state-of-the-art computational techniques to other teams and scientists to improve capabilities for data analysis with the purpose of deriving better insights from available datasets.
Understanding and usage of different Supervised and Unsupervised learning techniques, their biases, how and when to apply them and which methods are the best for a particular analysis.
Ability to wrangle raw data sets into a format that can have advanced methods applied against the resulting data.
Work independently to solve difficult technology and data problems.
Demonstrate usage of advanced tooling and techniques to other technical organizations throughout the company.
EDUCATION, BEHAVIORAL COMPETENCIES AND SKILLS:

Required
Masters Degree or PhD in Computer Science, Data Science or equivalent
3+ years experience or a PhD and relevant project / coursework
Expertise with the Application of Machine Learning and / or Deep Learning
Up-to-date knowledge of data wrangling and analysis technologies
Experience with Spark
Ability to manipulate voluminous data with different degree of structuring across disparate sources to build and communicate actionable insights for internal or external parties
Possesses strong personal skills to portray information
Ability to work in an agile and rapid changing environment with high quality deliverables
Experience with two of the following languages: Python, R, Java or Scala
Experience with deep learning frameworks: TensorFlow, MX Net
Working knowledge of SQL and NoSQL datastores
Preferred
Experience in a scientific environment
Experience with Reinforcement Learning
WHAT TAKEDA CAN OFFER YOU:
401(k) with company match and Annual Retirement Contribution Plan
Tuition reimbursement Company match of charitable contributions
Health & Wellness programs including onsite flu shots and health screenings
Generous time off for vacation and the option to purchase additional vacation days
Community Outreach Programs
Empowering Our People to Shine

Discover more at takedajobs.com

No Phone Calls or Recruiters Please.

#LI-JV1

Locations


Cambridge, MA

Worker Type


Employee

Worker Sub-Type


Regular

Time Type


Full time",3.7,"Takeda
3.7","Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (CAD),"Novartis, Baxter, Pfizer"
7,Data Scientist,"$100K-$163K
(Glassdoor Est.)","Upstart is a leading AI lending platform partnering with banks to expand access to affordable credit. Forbes recently ranked Upstart #12 on its list of ""most promising AI companies in America."" Inc. Magazine also recognized Upstart as one of the Best Workplaces for 2020.

By leveraging Upstart's AI platform, Upstart-powered banks can have higher approval rates and lower loss rates, while simultaneously delivering the exceptional digital-first lending experience their customers demand. Upstart's patent-pending platform is the first to receive a no-action letter from the Consumer Financial Protection Bureau related to fair lending. Upstart is based in San Mateo, California and Columbus, Ohio.

Most Upstarters join us because they connect with our mission of enabling access to effortless credit based on true risk. If you are energized by the impact you can make at Upstart, we'd love to hear from you!

The Team

Data Scientists with Upstart have a direct impact on our company's success. Our data science team consists of full-stack generalists as well as specialists in statistical modeling or machine learning as well as Machine Learning Engineers.

Because our challenges are so new, Data Scientists at Upstart need strong creative problem-solving skills and the technical background to implement solutions. Our research environment affords team members the opportunity to utilize a variety of statistical and machine learning methods with the freedom and encouragement to pursue alternative approaches to solving problems. Whether developing new products or identifying novel approaches to core models, we are continuously seeking the next big ideas to move our business forward.

The Role

As a Data Scientist, you'll have ownership across a breadth of data science projects working end-to-end from building proof-of-concepts to productionalizing models. You'll also have an opportunity to work alongside a talented team that values curiosity, humility, drive and teamwork.

What we're looking for:
Strong academic credentials with a M.S. in statistics, mathematics, computer science or a related quantitative field of study with a preference for a PhD
Comfort with programming (ideally in Python and R)
Rigorous quantitative background
Predictive modeling experience is preferred
Enthusiasm for and alignment with Upstart's mission and values
Strong sense of intellectual curiosity balanced with humility
Numerically-savvy with ability to operate at a speedy pace
What you'll love:
Competitive compensation (base + bonus & equity)
Comprehensive medical, dental, and vision coverage
Personal development and technology & ergonomic budgets
Life insurance and disability benefits
Clubs and Activities (game nights, Fitstarters, Superwomen, book club, investing club, money discussions, photography club and basketball teams)
Generous vacation policy
401(k) retirement plan
Catered lunches + snacks & drinks
Upstart is a proud Equal Opportunity Employer. We are dedicated to ensuring that underrepresented classes receive better access to affordable credit, and are just as committed to embracing diversity and inclusion in our hiring practices. We celebrate all cultures, backgrounds, perspectives, and experiences, and know that we can only become better together.",4.2,"Upstart
4.2","Columbus, OH","San Mateo, CA",201 to 500 employees,2012,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
8,Data Scientist,-1,"***Please note: All hiring and recruitment at Spring Health is handled with a valid '@springhealth.com' email address only or from recruitment firms @hays.com, @oxeonpartners.com, @neptunepeople.com, @rivierapartners.com, or @swingtalent.com. If you receive a message from a sender whose domain is not @springhealth.com, please beware that those communications are not authorized or coming from Spring Health. ***

Our mission: helping individuals and organizations thrive by eliminating every barrier to mental health.

Spring Health is a comprehensive mental health benefit for employers. We help employees understand their mental health issues and connect with best-in-class providers to get the right treatment at the right time.

We are an award-winning, passionate, and mission-driven team with the support of leaders in psychiatry, and backed by prominent VCs including Northzone, Rethink, RRE, and General Catalyst. From early detection to full recovery, Spring Health is the only clinically validated solution proven to be more effective than traditional mental healthcare. By combining the latest technology with vetted providers, we engage 1 in 3 employees, reduce recovery times, and reduce healthcare costs.

We are looking for a Data Scientist to join our R&D team. You will be responsible for designing, developing, and implementing data products throughout our organization. You will collaborate with a team of engineers, designers, product managers, social workers, psychologists, and scientists.

We are creating the future of mental healthcare: within your first year, you’ll discover something no human ever knew before about mental health.
What you’ll do at Spring Health:
Develop analytics and secure reporting approaches for a high-performing network of mental health providers
Work with product and engineering teams to improve user acquisition, patient adherence, and clinical outcomes
Develop data infrastructure to ingest and integrate multiple data sources, ETL, validate, and create automated reports for clients
Design and build data deliverables across multiple contexts, such as: claims analyses/financial ROI, longitudinal treatment outcomes, provider quality, and risk stratification algorithms
What we expect from you:
BA/BS in Psychology, Economics, Biology, Biochemistry, or other STEM-related field.
Fluency in R
Strong presentation skills — fluently tell a compelling clinical or business story with data
Strong written communication skills — quickly compose client-facing communications or publications for peer-review
Experience with Git, Python, SQL, parallel/distributed computing, cloud computing, and other data science toolkits
Experience or knowledge of traditional statistics, e.g. measures of central tendency, descriptive statistics, and inferential statistics
Possess the initiative and ability to self-direct projects and solve unconventional problems
Proximity to NYC: minimum 2 days per week in our NY HQ, max 3 days remote
What we’d love to see:
STEM PhD— especially in Applied Sciences (e.g. Biostatistics, Psychiatry, Psychology, Biological Sciences), or 3-4 years of equivalent data analysis experience
Experience using any of the following data: EMR, clinical trials, claims data, longitudinal
Demonstrated passion for, and understanding of, mental illness and broader U.S. healthcare system
Experience programming and testing statistical/machine learning models
Experience using data visualization techniques to present key findings
Ability to quickly and independently pick up concepts and skills
Experience working cross-functionally with operations, product, engineering, and design teams
Why you’ll love working at Spring Health:
Competitive compensation plan, including equity in the company: we want you to own a piece of what you’re building.
Comprehensive benefits: we offer 401k, health, dental and vision benefits as well as free mental healthcare!
World-leading science: we’re shaping the future of mental healthcare, and are at the forefront of peer-reviewed science. You’ll be the first human to discover something about how to treat mental illness.
Flexible vacation plan: our open vacation-policy allows you to take the time off you need when you need it.
Great people: make an impact on something that truly helps people alongside an incredible team.
We care about diversity: diversity allows us to build an excellent patient experience. We are an equal opportunity employer and we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
We value: humility, entrepreneurship, passion for mental health, honesty and candor/directness
If you're interested in the role, please submit your CV/Resume via email to careers@springhealth.com, along with one code sample and one writing sample.

The code samples can be in any language, and the writing sample should either be 250 words, or include a 250 word abstract. Communication skills are really important to us, and we are particularly looking for a simple, direct writing style and the ability to articulate a question and research methodology clearly.",3.6,"Spring Health
3.6","New York, NY","New York, NY",1 to 50 employees,2016,Company - Private,Healthcare Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1
9,Associate Data Scientist,"$63K-$102K
(Glassdoor Est.)","Embark on a career putting innovative, reliable, and agile products and ideas into orbit, and beyond. Northrop Grumman has opportunities waiting for you that play a vital role in human space exploration, national defense, and scientific discovery, supporting multiple programs across the universe. With us, you'll discover a culture of curiosity and collaboration that will have you Defining Possible from the day you start. Our space work connects and protects millions of people on earth every day, now and for the future. Explore your future and launch your career today.

Northrop Grumman Space Systems is seeking an Associate Data Scientist. This position will be located in Roy, UT and will support the Ground Based Strategic Deterrent (GBSD) program. Learn more about the GBSD program here.

The qualified applicant will become part of Northrop Grumman's Data Architecture and Modeling group. This group is responsible for the architecture and implementation of a Data Analytics System to be used on restricted programs. This DAS will be comprised of a series of extractions and integrations with operational engineering applications and databases.

Roles and Responsibilities:
Designs, develops, builds, analyzes, evaluates and installs database management systems to include database modeling and design, relational database architecture, metadata and repository creation and configuration management.
Uses data mapping, data mining and data transformational analysis tools to design and develop databases.
Prepares system requirements, source analysis and process analyses and design throughout the database implementation.
Qualifications:

Basic Qualifications:

A candidate, regardless of age and hiring source, must meet ALL of the below criteria. The candidate must:
Be completing or has completed their degree (Bachelor's, Master's, or PhD) from an accredited institution.
Be majoring in or having majored in a STEM degree with experience in data engineering as a SQL developer.
Have an overall cumulative GPA of 3.0 out of 4.0 or higher (unofficial academic transcripts must be provided at time of application by uploading the documents to your application or profile).
Be able to obtain and maintain a U.S. Government security clearance (U.S. citizenship is a pre-requisite).
Experience with data management systems such as; Product Data Management Systems, Product Lifecycle Management systems, or similar.
Experience working in collaborative sessions, while demonstrating strong verbal communication and presentation skills with customers while able to produce quality written documentation, but not limited to procedures and instruction.
Experience in the analysis and assessment of large data sets while managing and coordinating major parallel IT initiatives, operations performed on a given set of data to extract the required information in an appropriate form such as diagrams, reports, or tables.
Preferred Qualifications:
Have an overall cumulative GPA of 3.7 out of 4.0 or higher
Previous internship/co-op or other work experience, leadership & teamwork capabilities, interpersonal communication skills, and activities (professional/community/extracurricular).
Good presentation and writing/communication skills.
Self-motivated, willing to learn, and interested in working in a team environment.
Experience in developing and delivering presentations and leading small groups.
Experience in working in an autonomous work environment on complex projects.
Experience in working on business or engineering full life-cycle projects from project inception through launch.
Experience with Siemens Teamcenter Unified 11.x Product Lifecycle Management Systems and related extraction / integration software and utilities.
Experience with Python transformation and predictive modeling algorithms.
Ability to recognize problems and evaluate solutions, as well as identify customer needs.
Active Secret Security Clearance or higher.
Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO. U.S. Citizenship is required for most positions.",3.7,"Northrop Grumman
3.7","Roy, UT","Falls Church, VA",10000+ employees,1939,Company - Public,Aerospace & Defence,Aerospace & Defence,$10+ billion (CAD),-1
